Hospital Name,Address,City,State,ZIP Code,County Name,Hospital Type,Hospital Ownership,Emergency Services,Hospital overall rating
WINSTON MEDICAL CENTER & SWINGBED,923 SOUTH CHRUCH STREET,LOUISVILLE,MS,39339,WINSTON,Acute Care Hospitals,Voluntary non-profit - Private,True,3.0
MIDMICHIGAN MEDICAL CENTER-GLADWIN,515 QUARTER STREET,GLADWIN,MI,48624,GLADWIN,Critical Access Hospitals,Voluntary non-profit - Private,True,4.0
BAPTIST MEDICAL CENTER - ATTALA,220 HWY 12 WEST,KOSCIUSKO,MS,39090,ATTALA,Critical Access Hospitals,Voluntary non-profit - Other,True,3.0
KALEIDA HEALTH,"726 EXCHANGE STREET, SUITE 522",BUFFALO,NY,14210,ERIE,Acute Care Hospitals,Voluntary non-profit - Private,True,2.0
MERCY HOSPITAL WASHINGTON,901 EAST 5TH STREET,WASHINGTON,MO,63090,FRANKLIN,Acute Care Hospitals,Voluntary non-profit - Private,True,4.0
MOBERLY REGIONAL MEDICAL CENTER,1515 UNION AVE,MOBERLY,MO,65270,RANDOLPH,Acute Care Hospitals,Proprietary,True,2.0
ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL AT RAHWAY,865 STONE ST,RAHWAY,NJ,7065,UNION,Acute Care Hospitals,Voluntary non-profit - Private,True,3.0
UNIVERSITY MEDICAL CENTER,1800 W CHARLESTON BLVD,LAS VEGAS,NV,89102,CLARK,Acute Care Hospitals,Government - Local,True,1.0
LAKEWOOD HEALTH SYSTEM,49725 COUNTY ROAD 83,STAPLES,MN,56479,TODD,Critical Access Hospitals,Voluntary non-profit - Other,True,4.0
MAPLE GROVE HOSPITAL,9875 HOSPITAL DRIVE,MAPLE GROVE,MN,55369,HENNEPIN,Acute Care Hospitals,Voluntary non-profit - Private,True,4.0
SAN JUAN REGIONAL MEDICAL CENTER,801 WEST MAPLE STREET,FARMINGTON,NM,87401,SAN JUAN,Acute Care Hospitals,Voluntary non-profit - Private,True,2.0
NEWARK BETH ISRAEL MEDICAL CENTER,201 LYONS AVE,NEWARK,NJ,7112,ESSEX,Acute Care Hospitals,Voluntary non-profit - Private,True,1.0
COX MEDICAL CENTERS,3801 SOUTH NATIONAL AVENUE,SPRINGFIELD,MO,65807,GREENE,Acute Care Hospitals,Voluntary non-profit - Private,True,3.0
ALICE PECK DAY MEMORIAL HOSPITAL,10 ALICE PECK DAY DRIVE,LEBANON,NH,3766,GRAFTON,Critical Access Hospitals,Voluntary non-profit - Private,True,3.0
BORGESS MEDICAL CENTER,1521 GULL ROAD,KALAMAZOO,MI,49048,KALAMAZOO,Acute Care Hospitals,Voluntary non-profit - Other,True,2.0
RIVERWOOD HEALTHCARE CENTER,200 BUNKER HILL DRIVE,AITKIN,MN,56431,AITKIN,Critical Access Hospitals,Voluntary non-profit - Private,True,4.0
HENRY FORD ALLEGIANCE HEALTH,205 N EAST AVE,JACKSON,MI,49201,JACKSON,Acute Care Hospitals,Voluntary non-profit - Other,True,4.0
MISSOURI BAPTIST SULLIVAN HOSPITAL,751 SAPPINGTON BRIDGE RD,SULLIVAN,MO,63080,FRANKLIN,Critical Access Hospitals,Voluntary non-profit - Private,True,4.0
MERIT HEALTH GILMORE MEMORIAL,1105 EARL FRYE BLVD / PO BOX 459,AMORY,MS,38821,MONROE,Acute Care Hospitals,Proprietary,True,3.0
WHITE PLAINS HOSPITAL CENTER,41 EAST POST R0AD,WHITE PLAINS,NY,10601,WESTCHESTER,Acute Care Hospitals,Voluntary non-profit - Private,True,3.0
ST FRANCIS MEMORIAL HOSPITAL,430 NORTH MONITOR ST,WEST POINT,NE,68788,CUMING,Critical Access Hospitals,Voluntary non-profit - Private,True,3.0
COVINGTON COUNTY HOSPITAL CAH,701 SOUTH HOLLY AVENUE,COLLINS,MS,39428,COVINGTON,Critical Access Hospitals,Government - Local,True,2.0
INSPIRA MEDICAL CENTER VINELAND,1505 W SHERMAN AVE,VINELAND,NJ,8360,CUMBERLAND,Acute Care Hospitals,Voluntary non-profit - Private,True,2.0
STEPHENS MEMORIAL HOSPITAL,200 SOUTH GENEVA STREET,BRECKENRIDGE,TX,76424,STEPHENS,Acute Care Hospitals,Government - Hospital District or Authority,True,3.0
SSM HEALTH ST. MARY'S HOSPITAL - JEFFERSON CITY,2505 MISSION DRIVE,JEFFERSON CITY,MO,65109,COLE,Acute Care Hospitals,Proprietary,True,4.0
UNITY HOSPITAL,550 OSBORNE ROAD,FRIDLEY,MN,55432,ANOKA,Acute Care Hospitals,Voluntary non-profit - Other,True,4.0
MCLAREN OAKLAND,50 NORTH PERRY,PONTIAC,MI,48342,OAKLAND,Acute Care Hospitals,Voluntary non-profit - Private,True,2.0
SAINT MARY'S REGIONAL MEDICAL CENTER,235 W 6TH ST,RENO,NV,89503,WASHOE,Acute Care Hospitals,Voluntary non-profit - Private,True,3.0
CENTRACARE HEALTH - MONTICELLO,1013 HART BOULEVARD,MONTICELLO,MN,55362,WRIGHT,Critical Access Hospitals,Government - Hospital District or Authority,True,4.0
CAPE FEAR VALLEY MEDICAL CENTER,1638 OWEN DRIVE P O BOX 2000,FAYETTEVILLE,NC,28302,CUMBERLAND,Acute Care Hospitals,Voluntary non-profit - Private,True,3.0
SOUTHWEST MS REGIONAL MEDICAL CENTER,215 MARION AV BOX 1307,MCCOMB,MS,39649,PIKE,Acute Care Hospitals,Government - Local,True,1.0
CHRISTIAN HOSPITAL NORTHEAST-NORTHWEST,11133 DUNN ROAD,SAINT LOUIS,MO,63136,SAINT LOUIS,Acute Care Hospitals,Voluntary non-profit - Private,True,2.0
MESA VIEW REGIONAL HOSPITAL,1299 BERTHA HOWE AVENUE,MESQUITE,NV,89027,CLARK,Critical Access Hospitals,Voluntary non-profit - Private,True,4.0
REDWOOD AREA HOSPITAL,100 FALLWOOD ROAD,REDWOOD FALLS,MN,56283,REDWOOD,Critical Access Hospitals,Government - Local,True,4.0
CARSON TAHOE REGIONAL MEDICAL CENTER,1600 MEDICAL PARKWAY,CARSON CITY,NV,89703,CARSON CITY,Acute Care Hospitals,Voluntary non-profit - Private,True,3.0
MARY HITCHCOCK MEMORIAL HOSPITAL,1 MEDICAL CENTER DRIVE,LEBANON,NH,3756,GRAFTON,Acute Care Hospitals,Voluntary non-profit - Other,True,3.0
MERCY HOSPITAL LEBANON,100 HOSPITAL DRIVE,LEBANON,MO,65536,LACLEDE,Acute Care Hospitals,Voluntary non-profit - Church,True,3.0
NORTH MEMORIAL MEDICAL CENTER,3300 OAKDALE NORTH,ROBBINSDALE,MN,55422,HENNEPIN,Acute Care Hospitals,Voluntary non-profit - Private,True,3.0
CAREPOINT HEALTH-CHRIST HOSPITAL,176 PALISADE AVE,JERSEY CITY,NJ,7306,HUDSON,Acute Care Hospitals,Voluntary non-profit - Church,True,2.0
COVENANT HOSPITAL PLAINVIEW,2601 DIMMITT RD,PLAINVIEW,TX,79072,HALE,Acute Care Hospitals,Voluntary non-profit - Private,True,4.0
SAINT LUKES NORTHLAND HOSPITAL,5830 N W BARRY ROAD,KANSAS CITY,MO,64154,PLATTE,Acute Care Hospitals,Voluntary non-profit - Private,True,3.0
ST ALEXIUS HOSPITAL,3933 S BROADWAY,SAINT LOUIS,MO,63118,SAINT LOUIS CITY,Acute Care Hospitals,Proprietary,True,2.0
FIRSTLIGHT HEALTH SYSTEM,301 SOUTH HIGHWAY 65,MORA,MN,55051,KANABEC,Critical Access Hospitals,Government - Local,True,4.0
HEALTHALLIANCE HOSPITAL MARYS AVENUE CAMPUS,105 MARY'S AVENUE,KINGSTON,NY,12401,ULSTER,Acute Care Hospitals,Voluntary non-profit - Church,True,4.0
SAINT LUKE'S EAST LEE'S SUMMIT HOSPITAL,100 N E SAINT LUKE'S BOULEVARD,LEES SUMMIT,MO,64086,JACKSON,Acute Care Hospitals,Voluntary non-profit - Private,True,4.0
VASSAR BROTHERS MEDICAL CENTER,45 READE PLACE,POUGHKEEPSIE,NY,12601,DUTCHESS,Acute Care Hospitals,Voluntary non-profit - Other,True,2.0
LAWRENCE HOSPITAL CENTER,55 PALMER AVENUE,BRONXVILLE,NY,10708,WESTCHESTER,Acute Care Hospitals,Voluntary non-profit - Private,True,2.0
"UNIVERSITY OF MINNESOTA  MEDICAL CENTER, FAIRVIEW",2450 RIVERSIDE AVENUE,MINNEAPOLIS,MN,55454,HENNEPIN,Acute Care Hospitals,Voluntary non-profit - Private,True,3.0
CENTRA CARE HEALTH PAYNESVILLE,200 1ST STREET WEST,PAYNESVILLE,MN,56362,STEARNS,Critical Access Hospitals,Voluntary non-profit - Private,True,4.0
HAYES GREEN BEACH MEMORIAL HOSPITAL,321 E HARRIS STREET,CHARLOTTE,MI,48813,EATON,Critical Access Hospitals,Voluntary non-profit - Other,True,3.0
NORTH KANSAS CITY HOSPITAL,2800 CLAY EDWARDS DRIVE,NORTH KANSAS CITY,MO,64116,CLAY,Acute Care Hospitals,Government - Local,True,4.0
VIRTUA MEMORIAL HOSPITAL OF BURLINGTON COUNTY,175 MADISON AVE,MOUNT HOLLY,NJ,8060,BURLINGTON,Acute Care Hospitals,Voluntary non-profit - Private,True,3.0
BARNES-JEWISH ST PETERS HOSPITAL,10 HOSPITAL DR,SAINT PETERS,MO,63376,SAINT CHARLES,Acute Care Hospitals,Voluntary non-profit - Other,True,2.0
FIELD HEALTH SYSTEM,178 HIGHWAY 24,CENTREVILLE,MS,39631,WILKINSON,Critical Access Hospitals,Government - Local,True,2.0
HOLY ROSARY HEALTHCARE,2600 WILSON ST,MILES CITY,MT,59301,CUSTER,Critical Access Hospitals,Voluntary non-profit - Church,True,3.0
ST CLOUD HOSPITAL,1406 6TH AVE NORTH,SAINT CLOUD,MN,56303,STEARNS,Acute Care Hospitals,Voluntary non-profit - Private,True,4.0
BRONSON METHODIST HOSPITAL,601 JOHN STREET,KALAMAZOO,MI,49007,KALAMAZOO,Acute Care Hospitals,Voluntary non-profit - Private,True,2.0
OWATONNA HOSPITAL,2250 26TH STREET NORTHWEST,OWATONNA,MN,55060,STEELE,Acute Care Hospitals,Voluntary non-profit - Other,True,3.0
ST LUKE'S ROOSEVELT HOSPITAL,1000 TENTH AVENUE,NEW YORK,NY,10019,NEW YORK,Acute Care Hospitals,Voluntary non-profit - Private,True,2.0
AVERA ST ANTHONY'S HOSPITAL,300 NORTH 2ND ST,O' NEILL,NE,68763,HOLT,Critical Access Hospitals,Voluntary non-profit - Church,True,3.0
NOVANT HEALTH FORSYTH MEDICAL CENTER,3333 SILAS CREEK PARKWAY,WINSTON-SALEM,NC,27103,FORSYTH,Acute Care Hospitals,Voluntary non-profit - Private,True,3.0
DESERT VIEW REGIONAL MEDICAL CENTER,360 SOUTH LOLA LANE,PAHRUMP,NV,89048,NYE,Critical Access Hospitals,Proprietary,True,4.0
SSM HEALTH SAINT LOUIS UNIVERSITY HOSPITAL,3635 VISTA AVE,SAINT LOUIS,MO,63110,SAINT LOUIS CITY,Acute Care Hospitals,Proprietary,True,1.0
SOUTHERN HILLS HOSPITAL AND MEDICAL CENTER,9300 WEST SUNSET RD,LAS VEGAS,NV,89148,CLARK,Acute Care Hospitals,Voluntary non-profit - Private,True,3.0
ELLIOT HOSPITAL,1 ELLIOT WAY,MANCHESTER,NH,3103,HILLSBOROUGH,Acute Care Hospitals,Voluntary non-profit - Private,True,3.0
UNITED HOSPITAL,333 NORTH SMITH AVENUE,SAINT PAUL,MN,55102,RAMSEY,Acute Care Hospitals,Voluntary non-profit - Private,True,3.0
HARLEM HOSPITAL CENTER,506 LENOX AVENUE,NEW YORK,NY,10037,NEW YORK,Acute Care Hospitals,Government - Local,True,1.0
RENOWN SOUTH MEADOWS MEDICAL CENTER,10101 DOUBLE R BLVD,RENO,NV,89521,CARSON CITY,Acute Care Hospitals,Voluntary non-profit - Private,True,4.0
WILSON N JONES REGIONAL MEDICAL CENTER,500 N HIGHLAND AVENUE,SHERMAN,TX,75091,GRAYSON,Acute Care Hospitals,Proprietary,True,3.0
HOUSTON COUNTY MEDICAL CENTER,1100 LOOP 304 EAST,CROCKETT,TX,75835,HOUSTON,Acute Care Hospitals,Government - Hospital District or Authority,True,2.0
VALLEY COUNTY HEALTH SYSTEM,2707 L STREET,ORD,NE,68862,VALLEY,Critical Access Hospitals,Government - Local,True,3.0
NORTHEAST REGIONAL MEDICAL CENTER,315 S OSTEOPATHY,KIRKSVILLE,MO,63501,ADAIR,Acute Care Hospitals,Proprietary,True,4.0
BRYAN MEDICAL CENTER,1600 SOUTH 48TH ST,LINCOLN,NE,68506,LANCASTER,Acute Care Hospitals,Voluntary non-profit - Private,True,4.0
SAMPSON REGIONAL MEDICAL CENTER,607 BEAMAN ST,CLINTON,NC,28328,SAMPSON,Acute Care Hospitals,Government - Local,True,4.0
"CHENANGO MEMORIAL HOSPITAL, INC",179 NORTH BROAD STREET,NORWICH,NY,13815,CHENANGO,Acute Care Hospitals,Voluntary non-profit - Private,True,3.0
CALHOUN HEALTH SERVICES,140 BURKE-CALHOUN CITY ROAD,CALHOUN CITY,MS,38916,CALHOUN,Critical Access Hospitals,Government - Local,True,3.0
CAROLINAS HEALTHCARE SYSTEM NORTHEAST,920 CHURCH ST N,CONCORD,NC,28025,CABARRUS,Acute Care Hospitals,Government - Hospital District or Authority,True,3.0
BELL HOSPITAL,901 LAKESHORE DRIVE,ISHPEMING,MI,49849,MARQUETTE,Critical Access Hospitals,Proprietary,True,4.0
GERALD CHAMPION REGIONAL MEDICAL CENTER,2669 NORTH SCENIC DRIVE,ALAMOGORDO,NM,88310,OTERO,Acute Care Hospitals,Voluntary non-profit - Private,True,2.0
VALLEY HOSPITAL MEDICAL CENTER,620 SHADOW LANE,LAS VEGAS,NV,89106,CLARK,Acute Care Hospitals,Proprietary,True,1.0
MARGARET R PARDEE MEMORIAL HOSPITAL,800 N JUSTICE ST,HENDERSONVILLE,NC,28791,HENDERSON,Acute Care Hospitals,Government - Local,True,4.0
GREAT FALLS CLINIC HOSPITAL,3010 15TH AVENUE SOUTH,GREAT FALLS,MT,59405,CASCADE,Acute Care Hospitals,Proprietary,False,4.0
CAMERON REGIONAL MEDICAL CENTER,1600 E EVERGREEN,CAMERON,MO,64429,CLINTON,Acute Care Hospitals,Voluntary non-profit - Private,True,3.0
PLAINVIEW HOSPITAL,888 OLD COUNTRY ROAD,PLAINVIEW,NY,11803,NASSAU,Acute Care Hospitals,Voluntary non-profit - Private,True,2.0
"MEMORIAL HOSPITAL, THE",3073 WHITE MOUNTAIN HIGHWAY,NORTH CONWAY,NH,3860,CARROLL,Critical Access Hospitals,Voluntary non-profit - Private,True,3.0
CASS REGIONAL MEDICAL CENTER,2800 E ROCK HAVEN ROAD,HARRISONVILLE,MO,64701,CASS,Critical Access Hospitals,Government - Local,True,3.0
RIDGEVIEW MEDICAL CENTER,500 SOUTH MAPLE STREET,WACONIA,MN,55387,CARVER,Acute Care Hospitals,Voluntary non-profit - Private,True,4.0
ATLANTICARE REGIONAL MEDICAL CENTER - CITY CAMPUS,1925 PACIFIC AVENUE,ATLANTIC CITY,NJ,8401,ATLANTIC,Acute Care Hospitals,Voluntary non-profit - Other,True,3.0
SOUTHEAST HEALTH CENTER OF RIPLEY COUNTY,109 PLUM ST,DONIPHAN,MO,63935,RIPLEY,Acute Care Hospitals,Voluntary non-profit - Private,True,3.0
SSM HEALTH ST CLARE HOSPITAL - FENTON,1015 BOWLES,FENTON,MO,63026,JEFFERSON,Acute Care Hospitals,Voluntary non-profit - Private,True,3.0
ST JOSEPH'S MEDICAL CENTER,127 SOUTH BROADWAY,YONKERS,NY,10701,WESTCHESTER,Acute Care Hospitals,Voluntary non-profit - Private,True,1.0
MEMORIAL HOSPITAL AT GULFPORT,4500 13TH ST-P O BOX 1810,GULFPORT,MS,39502,HARRISON,Acute Care Hospitals,Government - Local,True,2.0
LAKE REGIONAL HEALTH SYSTEM,54 HOSPITAL DRIVE,OSAGE BEACH,MO,65065,CAMDEN,Acute Care Hospitals,Voluntary non-profit - Other,True,3.0
MERIT HEALTH BATESVILLE,303 MEDICAL CENTER DRIVE,BATESVILLE,MS,38606,PANOLA,Acute Care Hospitals,Proprietary,True,3.0
KARMANOS CANCER CENTER,4100 JOHN R,DETROIT,MI,48201,WAYNE,Acute Care Hospitals,Proprietary,False,2.0
SOUTHERN NH MEDICAL CENTER,8 PROSPECT STREET,NASHUA,NH,3060,HILLSBOROUGH,Acute Care Hospitals,Voluntary non-profit - Private,True,4.0
SOUTH HAVEN COMMUNITY HOSPITAL,955 S BAILEY AVE,SOUTH HAVEN,MI,49090,VAN BUREN,Acute Care Hospitals,Government - Hospital District or Authority,True,4.0
NOBLE HOSPITAL,115 WEST SILVER STREET,WESTFIELD,MA,1085,HAMPDEN,Acute Care Hospitals,Voluntary non-profit - Private,True,4.0
TAWAS ST JOSEPH HOSPITAL,200 HEMLOCK,TAWAS CITY,MI,48764,IOSCO,Acute Care Hospitals,Government - Hospital District or Authority,True,4.0
SSM HEALTH ST JOSEPH HOSPITAL-ST CHARLES,300 1ST CAPITOL DR,SAINT CHARLES,MO,63301,SAINT CHARLES,Acute Care Hospitals,Voluntary non-profit - Private,True,2.0
HILLS & DALES GENERAL HOSPITAL,4675 HILL STREET,CASS CITY,MI,48726,TUSCOLA,Critical Access Hospitals,Voluntary non-profit - Private,True,4.0
COMMUNITY HOSPITAL ASSOCIATION,"26136 US HIGHWAY 59, PO BOX 107",FAIRFAX,MO,64446,ATCHISON,Critical Access Hospitals,Voluntary non-profit - Private,True,3.0
BILLINGS CLINIC HOSPITAL,2800 10TH AVE N,BILLINGS,MT,59101,YELLOWSTONE,Acute Care Hospitals,Voluntary non-profit - Private,True,4.0
HEDRICK MEDICAL CENTER,2799 NORTH WASHINGTON STREET,CHILLICOTHE,MO,64601,LIVINGSTON,Critical Access Hospitals,Voluntary non-profit - Private,True,4.0
VIDANT MEDICAL CENTER,2100 STANTONSBURG RD,GREENVILLE,NC,27834,PITT,Acute Care Hospitals,Voluntary non-profit - Private,True,2.0
BEAUMONT HOSPITAL - DEARBORN,18101 OAKWOOD BLVD,DEARBORN,MI,48124,WAYNE,Acute Care Hospitals,Voluntary non-profit - Private,True,3.0
PHELPS COUNTY REGIONAL MEDICAL CENTER,1000 W 10TH ST,ROLLA,MO,65401,PHELPS,Acute Care Hospitals,Government - Local,True,3.0
ST JOSEPH'S REGIONAL MEDICAL CENTER,703 MAIN ST,PATERSON,NJ,7503,PASSAIC,Acute Care Hospitals,Voluntary non-profit - Church,True,1.0
SPECTRUM HEALTH PENNOCK,1009 W GREEN ST,HASTINGS,MI,49058,BARRY,Acute Care Hospitals,Voluntary non-profit - Other,True,3.0
PUTNAM HOSPITAL CENTER,670 STONELEIGH AVENUE,CARMEL,NY,10512,PUTNAM,Acute Care Hospitals,Voluntary non-profit - Private,True,3.0
CHI HEALTH IMMANUEL,6901 NORTH 72ND ST,OMAHA,NE,68122,DOUGLAS,Acute Care Hospitals,Voluntary non-profit - Private,True,3.0
UNIVERSITY OF NORTH CAROLINA HOSPITAL,101 MANNING DRIVE,CHAPEL HILL,NC,27514,ORANGE,Acute Care Hospitals,Government - State,True,2.0
"OUR LADY OF LOURDES MEMORIAL HOSPITAL, INC",169 RIVERSIDE DRIVE,BINGHAMTON,NY,13905,BROOME,Acute Care Hospitals,Voluntary non-profit - Private,True,1.0
ETMC HENDERSON,300 WILSON STREET,HENDERSON,TX,75652,RUSK,Acute Care Hospitals,Voluntary non-profit - Private,False,3.0
COOPER UNIVERSITY HOSPITAL,1 COOPER PLAZA,CAMDEN,NJ,8103,CAMDEN,Acute Care Hospitals,Voluntary non-profit - Private,True,2.0
FAIRVIEW NORTHLAND REGIONAL HOSPITAL,911 NORTHLAND DR,PRINCETON,MN,55371,SHERBURNE,Acute Care Hospitals,Voluntary non-profit - Other,True,4.0
MISSOURI DELTA MEDICAL CENTER,1008 NORTH MAIN ST,SIKESTON,MO,63801,NEW MADRID,Acute Care Hospitals,Voluntary non-profit - Other,True,4.0
ESSENTIA HEALTH VIRGINIA,901 9TH STREET NORTH,VIRGINIA,MN,55792,SAINT LOUIS,Acute Care Hospitals,Government - Local,False,3.0
SANFORD LUVERNE MEDICAL CENTER,1600 NORTH KNISS AVENUE P O BOX 1019,LUVERNE,MN,56156,ROCK,Critical Access Hospitals,Voluntary non-profit - Private,True,4.0
LOVELACE WESTSIDE HOSPITAL,10501 GOLF COURSE ROAD NW,ALBUQUERQUE,NM,87114,BERNALILLO,Acute Care Hospitals,Government - Federal,True,4.0
KENNEDY UNIVERSITY HOSPITAL - STRATFORD DIV,18 EAST LAUREL ROAD,STRATFORD,NJ,8084,CAMDEN,Acute Care Hospitals,Voluntary non-profit - Private,True,3.0
BENEFIS HOSPITALS INC,1101 26TH ST S,GREAT FALLS,MT,59405,CASCADE,Acute Care Hospitals,Voluntary non-profit - Private,True,4.0
CHRISTUS JASPER MEMORIAL HOSPITAL,1275 MARVIN HANCOCK DRIVE,JASPER,TX,75951,JASPER,Acute Care Hospitals,Government - Local,True,3.0
SPECTRUM HEALTH BIG RAPIDS HOSPITAL,605 OAK STREET,BIG RAPIDS,MI,49307,MECOSTA,Acute Care Hospitals,Government - Local,True,3.0
METHODIST HEALTHCARE - OLIVE BRANCH HOSPITAL,4250 BETHEL ROAD,OLIVE BRANCH,MS,38654,DESOTO,Acute Care Hospitals,Voluntary non-profit - Private,True,4.0
OAKLAWN HOSPITAL,200 N MADISON,MARSHALL,MI,49068,CALHOUN,Acute Care Hospitals,Voluntary non-profit - Other,True,5.0
HACKENSACK UNIVERSITY MEDICAL CENTER,30 PROSPECT AVE,HACKENSACK,NJ,7601,BERGEN,Acute Care Hospitals,Voluntary non-profit - Private,True,2.0
SUMMERLIN HOSPITAL MEDICAL CENTER,657 TOWN CENTER DRIVE,LAS VEGAS,NV,89144,CLARK,Acute Care Hospitals,Proprietary,True,3.0
ST LUKE COMMUNITY HOSPITAL,107 6TH AVE SW,RONAN,MT,59864,LAKE,Critical Access Hospitals,Voluntary non-profit - Private,True,3.0
ALBANY MEMORIAL HOSPITAL,600 NORTHERN BOULEVARD,ALBANY,NY,12204,ALBANY,Acute Care Hospitals,Voluntary non-profit - Private,True,2.0
WATAUGA MEDICAL CENTER,336 DEERFIELD ROAD,BOONE,NC,28607,WATAUGA,Acute Care Hospitals,Government - Local,True,3.0
GREENWOOD LEFLORE HOSPITAL,1401 RIVER RD / PO BOX 1410,GREENWOOD,MS,38930,LEFLORE,Acute Care Hospitals,Government - Local,True,2.0
ST LUKE'S WARREN HOSPITAL,185 ROSEBERRY ST,PHILLIPSBURG,NJ,8865,WARREN,Acute Care Hospitals,Voluntary non-profit - Other,True,3.0
LAFAYETTE REGIONAL HEALTH CENTER,1500 STATE STREET,LEXINGTON,MO,64067,LAFAYETTE,Critical Access Hospitals,Proprietary,True,3.0
MONMOUTH MEDICAL CENTER,300 SECOND AVENUE,LONG BRANCH,NJ,7740,MONMOUTH,Acute Care Hospitals,Voluntary non-profit - Private,True,4.0
UNM SANDOVAL REGIONAL MEDICAL CENTER,3001 BROADMOOR BLVD NE,RIO RANCHO,NM,87144,SANDOVAL,Acute Care Hospitals,Voluntary non-profit - Private,True,3.0
SINAI-GRACE HOSPITAL,6071 W OUTER DRIVE,DETROIT,MI,48235,WAYNE,Acute Care Hospitals,Proprietary,True,1.0
WAYNE GENERAL HOSPITAL,950 MATTHEW DR,WAYNESBORO,MS,39367,WAYNE,Acute Care Hospitals,Government - Local,True,2.0
TEXAS HEALTH HARRIS METHODIST HOSPITAL AZLE,108 DENVER TRAIL,AZLE,TX,76020,TARRANT,Acute Care Hospitals,Voluntary non-profit - Church,True,4.0
BROOKDALE HOSPITAL MEDICAL CENTER,1 BROOKDALE PLAZA,BROOKLYN,NY,11212,KINGS,Acute Care Hospitals,Voluntary non-profit - Private,True,1.0
SCOTLAND COUNTY  HOSPITAL,450 E SIGLER AVENUE,MEMPHIS,MO,63555,SCOTLAND,Critical Access Hospitals,Government - Hospital District or Authority,True,3.0
CAYUGA MEDICAL CENTER AT ITHACA,101 DATES DRIVE,ITHACA,NY,14850,TOMPKINS,Acute Care Hospitals,Voluntary non-profit - Private,True,3.0
OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,UNION,Acute Care Hospitals,Voluntary non-profit - Other,True,3.0
BAPTIST MEMORIAL HOSPITAL NORTH MS,2301 SOUTH LAMAR,OXFORD,MS,38655,LAFAYETTE,Acute Care Hospitals,Voluntary non-profit - Private,True,4.0
OGALLALA COMMUNITY HOSPITAL,2601 NORTH SPRUCE ST,OGALLALA,NE,69153,KEITH,Critical Access Hospitals,Government - Hospital District or Authority,True,3.0
MAYO CLINIC HEALTH SYSTEM - CANNON FALLS,32021 COUNTY 24 BOULEVARD,CANNON FALLS,MN,55009,GOODHUE,Critical Access Hospitals,Voluntary non-profit - Private,True,3.0
RIVER'S EDGE HOSPITAL & CLINIC,1900 NORTH SUNRISE DRIVE,ST PETER,MN,56082,NICOLLET,Critical Access Hospitals,Government - Local,True,4.0
BOULDER CITY HOSPITAL,901 ADAMS BLVD,BOULDER CITY,NV,89005,CLARK,Critical Access Hospitals,Voluntary non-profit - Private,True,2.0
YALOBUSHA GENERAL HOSPITAL,630 SOUTH MAIN STREET,WATER VALLEY,MS,38965,YALOBUSHA,Acute Care Hospitals,Government - Local,False,3.0
MARY LANNING HEALTHCARE,715 N ST JOSEPH AVE,HASTINGS,NE,68901,ADAMS,Acute Care Hospitals,Voluntary non-profit - Other,True,3.0
WEST BRANCH REGIONAL MEDICAL CENTER,2463 SOUTH M-30,WEST BRANCH,MI,48661,OGEMAW,Acute Care Hospitals,Government - Local,True,4.0
OCH REGIONAL MEDICAL CENTER,400 HOSPITAL ROAD /MAIL PO BOX 1506,STARKVILLE,MS,39759,OKTIBBEHA,Acute Care Hospitals,Government - Local,True,3.0
AVERA MARSHALL REGIONAL MEDICAL CTR,300 SOUTH BRUCE STREET,MARSHALL,MN,56258,LYON,Critical Access Hospitals,Voluntary non-profit - Private,True,3.0
CHI HEALTH ST MARY'S,1301 GRUNDMAN BLVD,NEBRASKA CITY,NE,68410,OTOE,Critical Access Hospitals,Voluntary non-profit - Church,True,3.0
MCLAREN PORT HURON,1221 PINE GROVE AVE,PORT HURON,MI,48060,SAINT CLAIR,Acute Care Hospitals,Voluntary non-profit - Private,True,2.0
MERIT HEALTH CENTRAL,1850 CHADWICK DR,JACKSON,MS,39204,HINDS,Acute Care Hospitals,Proprietary,True,2.0
PORTSMOUTH REGIONAL HOSPITAL,333 BORTHWICK AVE,PORTSMOUTH,NH,3801,ROCKINGHAM,Acute Care Hospitals,Proprietary,True,3.0
HENRY FORD WYANDOTTE HOSPITAL,2333 BIDDLE AVE,WYANDOTTE,MI,48192,WAYNE,Acute Care Hospitals,Voluntary non-profit - Private,True,2.0
CHI HEALTH MIDLANDS,11111 SOUTH 84TH ST,PAPILLION,NE,68046,SARPY,Acute Care Hospitals,Voluntary non-profit - Church,True,3.0
ST ROSE DOMINICAN HOSPITALS - ROSE DE LIMA CAMPUS,102 E LAKE MEAD DR,HENDERSON,NV,89015,CLARK,Acute Care Hospitals,Voluntary non-profit - Church,True,2.0
PLAINS REGIONAL MEDICAL CENTER,"2100 N MARTIN LUTHER KING, JR, BLVD",CLOVIS,NM,88101,CURRY,Acute Care Hospitals,Government - Federal,True,3.0
NOR-LEA HOSPITAL DISTRICT,1600 NORTH MAIN AVE,LOVINGTON,NM,88260,LEA,Critical Access Hospitals,Government - Hospital District or Authority,True,4.0
GLACIAL RIDGE HOSPITAL,10 4TH AVENUE SOUTHEAST,GLENWOOD,MN,56334,POPE,Critical Access Hospitals,Government - Hospital District or Authority,True,4.0
